Alfa parameter,sources,destinations,max t cost,instances,algorithm,alg mode,initial solution,opt time [ms],initial sol [ms],clustering [ms],iteration [ms],multipliers [ms],red costs [ms],base changes [ms],step 1 [ms],step 2 [ms],init sol improvement [%],base changes,iterations
10,6000,6000,6000,2,ts,std shortlist,MMR,28244,52,820,27372,25912,159,967,955,0,5400.00%,216173,216174
10,4000,9000,6000,2,ts,std shortlist,MMR,35327,53,880,34393,32804,176,1056,1043,0,4834.16%,228165,228166
10,3000,12000,6000,2,ts,std shortlist,MMR,34358,56,891,33410,31701,191,1118,1095,0,4003.17%,253415,253416
10,2000,18000,6000,2,ts,std shortlist,MMR,49782,56,910,48814,46875,304,1184,1166,0,2583.61%,287170,287171
10,1000,36000,6000,2,ts,std shortlist,MMR,127436,61,921,126452,123666,417,1691,1663,0,1200.14%,436111,436112
10,6000,6000,6000,3,ts,std shortlist,MMR,30469,54,824,29591,27960,138,1137,1124,0,5600.00%,235086,235087
10,4000,9000,6000,3,ts,std shortlist,MMR,32074,53,880,31140,29378,152,1221,1206,0,5127.83%,249834,249835
10,3000,12000,6000,3,ts,std shortlist,MMR,31499,55,889,30555,28987,200,996,981,0,3955.15%,233882,233883
10,2000,18000,6000,3,ts,std shortlist,MMR,51317,56,906,50354,48387,288,1202,1183,0,2562.19%,300550,300551
10,1000,36000,6000,3,ts,std shortlist,MMR,122879,62,935,121881,119094,496,1641,1609,0,1128.07%,405162,405163
10,6000,6000,6000,4,ts,std shortlist,MMR,30061,52,817,29191,27573,141,1119,1106,0,5400.00%,233067,233068
10,4000,9000,6000,4,ts,std shortlist,MMR,28128,54,879,27194,25681,170,1005,993,0,4621.77%,217116,217117
10,3000,12000,6000,4,ts,std shortlist,MMR,34978,54,898,34026,32299,185,1133,1116,0,3778.14%,256832,256833
10,2000,18000,6000,4,ts,std shortlist,MMR,56960,62,961,55936,53775,200,1466,1445,0,2581.47%,320299,320300
10,1000,36000,6000,4,ts,std shortlist,MMR,138958,81,1064,137811,134704,468,1946,1907,0,1148.00%,438145,438146
10,6000,6000,6000,5,ts,std shortlist,MMR,29739,52,821,28866,27292,129,1099,1087,0,5500.00%,229717,229718
10,4000,9000,6000,5,ts,std shortlist,MMR,32452,53,893,31505,29749,165,1208,1193,0,5078.08%,244640,244641
10,3000,12000,6000,5,ts,std shortlist,MMR,34053,53,890,33109,31423,186,1106,1090,0,3660.44%,250740,250741
10,2000,18000,6000,5,ts,std shortlist,MMR,48960,56,903,48000,46129,209,1208,1189,0,2615.18%,285100,285101
10,1000,36000,6000,5,ts,std shortlist,MMR,133602,60,917,132623,129869,328,1739,1708,0,1214.14%,436163,436164
10,6000,6000,6000,6,ts,std shortlist,MMR,29308,52,818,28437,26898,145,1048,1037,0,5500.00%,224744,224745
10,4000,9000,6000,6,ts,std shortlist,MMR,28385,53,887,27444,25896,171,1034,1022,0,4857.07%,219539,219540
10,3000,12000,6000,6,ts,std shortlist,MMR,33633,55,888,32689,30966,233,1095,1078,0,3853.16%,247521,247522
10,2000,18000,6000,6,ts,std shortlist,MMR,51726,56,902,50768,48775,283,1229,1210,0,2604.37%,302332,302333
10,1000,36000,6000,6,ts,std shortlist,MMR,121873,61,955,120856,118150,514,1532,1507,0,1166.45%,416857,416858
10,6000,6000,6000,7,ts,std shortlist,MMR,28998,52,826,28120,26619,142,1027,1015,0,5300.00%,218629,218630
10,4000,9000,6000,7,ts,std shortlist,MMR,29740,54,879,28806,27206,174,1070,1056,0,4858.36%,229311,229312
10,3000,12000,6000,7,ts,std shortlist,MMR,35239,54,880,34305,32537,194,1163,1145,0,3866.72%,261052,261053
10,2000,18000,6000,7,ts,std shortlist,MMR,50613,56,896,49661,47735,237,1231,1211,0,2636.70%,292484,292485
10,1000,36000,6000,7,ts,std shortlist,MMR,124650,62,936,123651,121017,438,1524,1486,0,1169.56%,428698,428699
10,6000,6000,6000,8,ts,std shortlist,MMR,28289,52,824,27412,25893,197,989,977,0,5200.00%,216386,216387
10,4000,9000,6000,8,ts,std shortlist,MMR,27647,55,889,26703,25189,169,1008,990,0,4857.02%,214694,214695
10,3000,12000,6000,8,ts,std shortlist,MMR,36156,53,882,35220,33419,186,1197,1179,0,3843.30%,269818,269819
10,2000,18000,6000,8,ts,std shortlist,MMR,57884,56,904,56923,54643,296,1500,1470,0,2556.93%,307720,307721
10,1000,36000,6000,8,ts,std shortlist,MMR,129095,58,942,128073,125308,411,1688,1661,0,1193.26%,425965,425966
10,6000,6000,6000,9,ts,std shortlist,MMR,29231,52,818,28360,26838,137,1040,1028,0,5600.00%,225133,225134
10,4000,9000,6000,9,ts,std shortlist,MMR,30074,53,879,29135,27485,179,1103,1089,0,4699.68%,233867,233868
10,3000,12000,6000,9,ts,std shortlist,MMR,33823,55,891,32876,31198,190,1095,1076,0,3807.81%,252415,252416
10,2000,18000,6000,9,ts,std shortlist,MMR,52108,56,899,51152,49207,251,1208,1188,0,2647.11%,302207,302208
10,1000,36000,6000,9,ts,std shortlist,MMR,120648,59,912,119676,116924,622,1470,1445,0,1198.42%,411771,411772
10,6000,6000,6000,10,ts,std shortlist,MMR,31417,52,822,30542,28948,144,1095,1082,0,5400.00%,230959,230960
10,4000,9000,6000,10,ts,std shortlist,MMR,30045,54,888,29103,27404,226,1112,1099,0,4691.19%,231422,231423
10,3000,12000,6000,10,ts,std shortlist,MMR,35563,55,888,34619,32808,246,1151,1133,0,3986.05%,262589,262590
10,2000,18000,6000,10,ts,std shortlist,MMR,53724,57,893,52773,50698,235,1369,1341,0,2418.33%,297311,297312
10,1000,36000,6000,10,ts,std shortlist,MMR,139914,64,978,138870,135835,401,1944,1906,0,1102.35%,438776,438777
10,8000,8000,8000,1,ts,std shortlist,MMR,65157,92,1200,63865,61075,245,2002,1984,0,7000.00%,341832,341833
10,8000,8000,8000,2,ts,std shortlist,MMR,59468,88,1132,58248,55725,206,1778,1761,0,7000.00%,344560,344561
10,8000,8000,8000,3,ts,std shortlist,MMR,55586,86,1113,54386,51863,225,1787,1768,0,7100.00%,322002,322003
10,8000,8000,8000,4,ts,std shortlist,MMR,60367,88,1128,59150,56656,247,1711,1695,0,7100.00%,340270,340271
10,8000,8000,8000,5,ts,std shortlist,MMR,65287,96,1215,63975,61152,232,2049,2030,0,7300.00%,340923,340924
10,8000,8000,8000,6,ts,std shortlist,MMR,67355,92,1221,66041,63105,254,2122,2095,0,7300.00%,356641,356642
10,8000,8000,8000,7,ts,std shortlist,MMR,61874,89,1144,60640,58034,222,1838,1822,0,6700.00%,350443,350444
10,8000,8000,8000,8,ts,std shortlist,MMR,64072,93,1220,62758,59980,250,1997,1978,0,7200.00%,334383,334384
10,8000,8000,8000,9,ts,std shortlist,MMR,54042,86,1109,52847,50565,236,1554,1534,0,6900.00%,313091,313092
10,8000,8000,8000,10,ts,std shortlist,MMR,58023,87,1135,56799,54407,203,1677,1656,0,6900.00%,329005,329006
10,10000,10000,10000,1,ts,std shortlist,MMR,104754,134,1851,102736,98550,343,3103,3079,0,9000.00%,458582,458583
10,10000,10000,10000,2,ts,std shortlist,MMR,106616,134,1841,104640,100379,400,3117,3087,0,9100.00%,462818,462819
10,10000,10000,10000,3,ts,std shortlist,MMR,109310,138,1868,107303,103271,351,2932,2901,0,8800.00%,478419,478420
10,10000,10000,10000,4,ts,std shortlist,MMR,103286,133,1846,101306,97150,374,3059,3028,0,8600.00%,448659,448660
10,10000,10000,10000,5,ts,std shortlist,MMR,110775,138,1893,108743,104746,359,2899,2876,0,8900.00%,470538,470539
10,10000,10000,10000,6,ts,std shortlist,MMR,105608,138,1896,103574,99616,374,2843,2820,0,8600.00%,460574,460575
10,10000,10000,10000,7,ts,std shortlist,MMR,111354,133,1839,109381,104905,355,3330,3303,0,8600.00%,485663,485664
10,10000,10000,10000,8,ts,std shortlist,MMR,99805,136,1870,97799,94098,334,2672,2650,0,8700.00%,437743,437744
10,10000,10000,10000,9,ts,std shortlist,MMR,102340,138,1899,100302,96556,343,2702,2679,0,9000.00%,443660,443661
10,10000,10000,10000,10,ts,std shortlist,MMR,108626,134,1859,106632,102373,334,3181,3156,0,8700.00%,464352,464353
10,12000,12000,12000,1,ts,std shortlist,MMR,174849,189,2947,171712,165306,500,4921,4887,0,10500.00%,616990,616991
10,12000,12000,12000,2,ts,std shortlist,MMR,169297,194,2982,166120,160321,498,4354,4309,0,10400.00%,590164,590165
10,12000,12000,12000,3,ts,std shortlist,MMR,170608,197,3026,167383,161729,494,4229,4196,0,10500.00%,588584,588585
10,12000,12000,12000,4,ts,std shortlist,MMR,171965,193,2965,168805,162974,534,4345,4315,0,10900.00%,598444,598445
10,12000,12000,12000,5,ts,std shortlist,MMR,218228,194,2973,215059,209085,516,4484,4453,0,11000.00%,617086,617087
10,12000,12000,12000,6,ts,std shortlist,MMR,174616,194,2969,171452,165510,485,4494,4449,0,10600.00%,607867,607868
10,12000,12000,12000,7,ts,std shortlist,MMR,174793,194,2981,171616,164841,1276,4521,4490,0,10400.00%,602614,602615
10,12000,12000,12000,8,ts,std shortlist,MMR,175896,194,2975,172726,166807,438,4523,4481,0,10500.00%,612348,612349
10,12000,12000,12000,9,ts,std shortlist,MMR,173423,191,2950,170281,163961,515,4844,4808,0,11200.00%,604332,604333
10,12000,12000,12000,10,ts,std shortlist,MMR,177012,194,2973,173843,167821,489,4544,4513,0,10800.00%,619766,619767
10,16000,16000,16000,1,ts,std shortlist,MMR,405220,1391,5579,398245,377578,8536,10634,10585,0,14300.00%,924082,924083
10,16000,16000,16000,2,ts,std shortlist,MMR,386333,1484,5631,379197,359041,9230,9512,9463,0,14900.00%,884600,884601
10,16000,16000,16000,3,ts,std shortlist,MMR,414816,1372,5624,407815,386774,9118,10400,10328,0,13700.00%,948459,948460
10,16000,16000,16000,4,ts,std shortlist,MMR,368630,1426,5623,361578,342989,7753,9462,9418,0,14300.00%,839361,839362
10,16000,16000,16000,5,ts,std shortlist,MMR,408960,1681,5614,401660,379203,10626,10309,10216,0,14100.00%,935335,935336
10,16000,16000,16000,6,ts,std shortlist,MMR,407993,1458,5695,400835,379673,8894,10759,10708,0,14300.00%,934378,934379
10,16000,16000,16000,7,ts,std shortlist,MMR,419104,1282,5493,412324,390842,8887,11069,11014,0,14100.00%,944558,944559
10,16000,16000,16000,8,ts,std shortlist,MMR,427054,1419,5627,420002,398507,9199,10764,10702,0,14800.00%,980826,980827
10,16000,16000,16000,9,ts,std shortlist,MMR,413825,1373,5564,406882,385037,8721,11630,11520,0,14600.00%,951785,951786
10,16000,16000,16000,10,ts,std shortlist,MMR,400664,1332,5655,393670,373709,8193,10301,10247,0,14500.00%,915770,915771
