Alfa parameter,sources,destinations,max t cost,instances,algorithm,alg mode,initial solution,opt time [ms],initial sol [ms],clustering [ms],iteration [ms],multipliers [ms],red costs [ms],base changes [ms],step 1 [ms],step 2 [ms],init sol improvement [%],base changes,iterations
10,1000,1000,1000,1,ts,std shortlist,MMR,174,2,16,157,119,4,13,12,0,1100.00%,17191,17192
10,1000,1000,1000,2,ts,std shortlist,MMR,163,2,16,146,109,4,12,11,0,1000.00%,16659,16660
10,1000,1000,1000,3,ts,std shortlist,MMR,160,2,16,143,109,5,11,10,0,1000.00%,15904,15905
10,1000,1000,1000,4,ts,std shortlist,MMR,159,2,15,141,108,4,11,10,0,900.00%,15615,15616
10,1000,1000,1000,5,ts,std shortlist,MMR,158,2,15,141,107,5,10,10,0,800.00%,15250,15251
10,1000,1000,1000,6,ts,std shortlist,MMR,156,2,16,138,104,4,11,10,0,800.00%,14966,14967
10,1000,1000,1000,7,ts,std shortlist,MMR,169,2,15,152,117,4,12,11,0,700.00%,16420,16421
10,1000,1000,1000,8,ts,std shortlist,MMR,160,2,15,143,108,5,11,11,0,800.00%,15714,15715
10,1000,1000,1000,9,ts,std shortlist,MMR,157,2,15,140,107,4,11,10,0,900.00%,15543,15544
10,1000,1000,1000,10,ts,std shortlist,MMR,160,1,16,143,109,4,10,10,0,900.00%,16057,16058
10,2000,2000,2000,1,ts,std shortlist,MMR,1040,6,66,968,834,14,63,61,0,1800.00%,43859,43860
10,2000,2000,2000,2,ts,std shortlist,MMR,1032,6,65,962,823,16,63,61,0,2000.00%,45226,45227
10,2000,2000,2000,3,ts,std shortlist,MMR,1020,6,65,949,814,18,59,57,0,2000.00%,44903,44904
10,2000,2000,2000,4,ts,std shortlist,MMR,1019,6,65,948,812,15,63,61,0,1700.00%,44713,44714
10,2000,2000,2000,5,ts,std shortlist,MMR,935,6,65,864,737,17,55,54,0,1600.00%,42123,42124
10,2000,2000,2000,6,ts,std shortlist,MMR,991,6,68,917,787,15,58,56,0,1900.00%,43787,43788
10,2000,2000,2000,7,ts,std shortlist,MMR,1066,6,65,995,856,16,63,61,0,1800.00%,46476,46477
10,2000,2000,2000,8,ts,std shortlist,MMR,1165,6,68,1092,961,15,58,56,0,1800.00%,43686,43687
10,2000,2000,2000,9,ts,std shortlist,MMR,1063,6,65,992,857,15,61,59,0,1900.00%,45422,45423
10,2000,2000,2000,10,ts,std shortlist,MMR,966,6,65,895,767,15,57,55,0,1800.00%,43329,43330
10,4000,4000,4000,1,ts,std shortlist,MMR,7627,24,313,7289,6729,59,330,324,0,3700.00%,123454,123455
10,4000,4000,4000,2,ts,std shortlist,MMR,7299,23,284,6992,6462,62,295,290,0,3800.00%,124981,124982
10,4000,4000,4000,3,ts,std shortlist,MMR,7665,24,313,7328,6786,63,313,308,0,3700.00%,118757,118758
10,4000,4000,4000,4,ts,std shortlist,MMR,6940,22,282,6636,6141,52,275,270,0,3600.00%,121268,121269
10,4000,4000,4000,5,ts,std shortlist,MMR,7210,22,281,6907,6384,57,292,287,0,3700.00%,126496,126497
10,4000,4000,4000,6,ts,std shortlist,MMR,7097,22,282,6793,6282,56,284,279,0,3700.00%,124089,124090
10,4000,4000,4000,7,ts,std shortlist,MMR,7533,24,317,7192,6650,64,311,306,0,3500.00%,118529,118530
10,4000,4000,4000,8,ts,std shortlist,MMR,8099,22,293,7783,7187,63,348,342,0,3800.00%,132483,132484
10,4000,4000,4000,9,ts,std shortlist,MMR,8450,25,318,8107,7591,63,291,286,0,3400.00%,115557,115558
10,4000,4000,4000,10,ts,std shortlist,MMR,7215,23,289,6903,6375,57,297,292,0,3500.00%,124306,124307
10,6000,6000,6000,1,ts,std shortlist,MMR,31896,52,825,31018,29453,145,1068,1055,0,5100.00%,231443,231444
10,4000,9000,6000,1,ts,std shortlist,MMR,29591,54,889,28648,27032,149,1112,1098,0,4596.07%,231240,231241
10,3000,12000,6000,1,ts,std shortlist,MMR,40856,55,890,39910,38152,239,1121,1104,0,3683.39%,253808,253809
10,2000,18000,6000,1,ts,std shortlist,MMR,52178,56,893,51228,49279,233,1232,1212,0,2544.47%,304087,304088
10,1000,36000,6000,1,ts,std shortlist,MMR,126337,60,920,125356,122591,416,1686,1658,0,1130.44%,423443,423444
