M,N,Instance,Algorithm,Status,ObjF,Time [s],Iterations,
1000,1000,1,Dual,Optimal,1426271,2.3,2095,
1000,1000,2,Dual,Optimal,1397103,2.3,2044,
1000,1000,3,Dual,Optimal,1477785,2.1,1920,
1000,1000,4,Dual,Optimal,1430840,2.3,2070,
1000,1000,5,Dual,Optimal,1409360,2.8,2149,
1000,1000,6,Dual,Optimal,1400692,2.7,2164,
1000,1000,7,Dual,Optimal,1459406,3.0,2152,
1000,1000,8,Dual,Optimal,1379366,2.6,2098,
1000,1000,9,Dual,Optimal,1404415,2.0,1936,
1000,1000,10,Dual,Optimal,1369058,2.3,2024,2.44
2000,2000,1,Dual,Optimal,2785696,12.4,4078,
2000,2000,2,Dual,Optimal,2735967,18.4,4298,
2000,2000,3,Dual,Optimal,2805071,16.2,4294,
2000,2000,4,Dual,Optimal,2829092,15.6,4327,
2000,2000,5,Dual,Optimal,2808097,16.7,4197,
2000,2000,6,Dual,Optimal,2820250,17.2,4316,
2000,2000,7,Dual,Optimal,2892359,20.6,4369,
2000,2000,8,Dual,Optimal,2830659,12.9,4099,
2000,2000,9,Dual,Optimal,2790417,16.6,4464,
2000,2000,10,Dual,Optimal,2829839,16.9,4304,16.35
4000,4000,1,Dual,Optimal,5508212,89.2,8433,
4000,4000,2,Dual,Optimal,5487317,108.2,8673,
4000,4000,3,Dual,Optimal,5648408,158.0,9005,
4000,4000,4,Dual,Optimal,5681664,89.1,8487,
4000,4000,5,Dual,Optimal,5533452,98.8,8768,
4000,4000,6,Dual,Optimal,5563801,153.3,8834,
4000,4000,7,Dual,Optimal,5536466,135.3,8779,
4000,4000,8,Dual,Optimal,5750374,111.8,8777,
4000,4000,9,Dual,Optimal,5648021,130.6,8915,
4000,4000,10,Dual,Optimal,5769414,153.4,9186,122.77
6000,6000,1,Dual,Optimal,8395898,306.8,13029,
6000,6000,2,Dual,Optimal,8576815,320.5,13491,
6000,6000,3,Dual,Optimal,8361405,281.9,13365,
6000,6000,4,Dual,Optimal,8315531,232.7,12657,
6000,6000,5,Dual,Optimal,8405247,271.5,12978,
6000,6000,6,Dual,Optimal,8356888,275.1,12872,
6000,6000,7,Dual,Optimal,8342474,260.9,12578,
6000,6000,8,Dual,Optimal,8550712,240.4,12652,
6000,6000,9,Dual,Optimal,8459089,284.5,13166,
6000,6000,10,Dual,Optimal,8341866,328.4,12899,280.2706
1000,1000,1,Primal,Optimal,1426271,1.5,2847,
1000,1000,2,Primal,Optimal,1397103,1.5,2742,
1000,1000,3,Primal,Optimal,1477785,1.5,2916,
1000,1000,4,Primal,Optimal,1430840,1.7,2967,
1000,1000,5,Primal,Optimal,1409360,1.7,2889,
1000,1000,6,Primal,Optimal,1400692,1.6,2673,
1000,1000,7,Primal,Optimal,1459406,1.6,3014,
1000,1000,8,Primal,Optimal,1379366,2.2,3028,
1000,1000,9,Primal,Optimal,1404415,1.8,2667,
1000,1000,10,Primal,Optimal,1369058,1.7,2655,1.68
2000,2000,1,Primal,Optimal,2785696,7.5,8325,
2000,2000,2,Primal,Optimal,2735967,7.4,8157,
2000,2000,3,Primal,Optimal,2805071,7.2,8504,
2000,2000,4,Primal,Optimal,2829092,7.3,7563,
2000,2000,5,Primal,Optimal,2808097,7.5,8319,
2000,2000,6,Primal,Optimal,2820250,7.1,7605,
2000,2000,7,Primal,Optimal,2892359,7.9,8186,
2000,2000,8,Primal,Optimal,2830659,7.4,7824,
2000,2000,9,Primal,Optimal,2790417,8.7,8296,
2000,2000,10,Primal,Optimal,2829839,7.5,8232,7.55
4000,4000,1,Primal,Optimal,5508212,33.6,21539,
4000,4000,2,Primal,Optimal,5487317,35.4,21888,
4000,4000,3,Primal,Optimal,5648408,34.6,21140,
4000,4000,4,Primal,Optimal,5681664,35.2,19690,
4000,4000,5,Primal,Optimal,5533452,34.3,20439,
4000,4000,6,Primal,Optimal,5563801,36.4,19768,
4000,4000,7,Primal,Optimal,5536466,33.8,20735,
4000,4000,8,Primal,Optimal,5750374,34.1,21671,
4000,4000,9,Primal,Optimal,5648021,34.6,20279,
4000,4000,10,Primal,Optimal,5769414,34.9,20410,34.69
6000,6000,1,Primal,Optimal,8395898,87.3,35148,
6000,6000,2,Primal,Optimal,8576815,83.1,35157,
6000,6000,3,Primal,Optimal,8361405,86.4,34257,
6000,6000,4,Primal,Optimal,8315531,82.9,34443,
6000,6000,5,Primal,Optimal,8405247,83.2,35691,
6000,6000,6,Primal,Optimal,8356888,84.2,34435,
6000,6000,7,Primal,Optimal,8342474,87.9,34426,
6000,6000,8,Primal,Optimal,8550712,88.4,34290,
6000,6000,9,Primal,Optimal,8459089,86.2,34591,
6000,6000,10,Primal,Optimal,8341866,88.3,34463,85.78
