W,Size a,Size b,Type,instances,algorithm,alg mode,initial solution,Obj F,opt time [ms],initial sol [ms],iteration [ms],multipliers [ms],red costs [ms],base changes [ms],step 1 [ms],step 2 [ms],base changes,iterations,init sol improvement [%]
28,32,32,GRFmoderate,10091005,ts,4111,NWC,339332532,102,4,94,6,20,67,39,28,30570,447,37.6313
28,32,32,GRFmoderate,10091007,ts,4111,NWC,159044387,123,4,114,7,23,84,50,34,42457,422,95.5505
28,32,32,GRFmoderate,10091008,ts,4111,NWC,759504426,116,4,107,6,21,79,47,32,38318,420,16.9671
28,32,32,GRFmoderate,10101002,ts,4111,NWC,450423650,133,4,125,8,27,89,53,35,41481,598,35.8623
28,32,32,GRFmoderate,10101004,ts,4111,NWC,1767724806,150,4,142,11,32,97,58,38,41928,737,9.3479
28,32,32,GRFmoderate,10101005,ts,4111,NWC,415758811,118,4,109,6,22,80,47,33,40119,432,38.1747
28,32,32,GRFmoderate,10101007,ts,4111,NWC,234106414,123,4,115,6,23,84,49,35,42678,440,69.7599
28,32,32,GRFmoderate,10101008,ts,4111,NWC,1074961309,178,4,170,11,35,123,75,48,57614,695,17.7305
28,32,32,GRFmoderate,10101009,ts,4111,NWC,242499731,117,4,109,6,22,81,47,34,40527,403,69.3472
28,32,32,GRFrough,10011002,ts,4111,NWC,151156309,134,4,126,7,25,93,55,38,46481,483,122.2133
28,32,32,GRFrough,10011004,ts,4111,NWC,170020029,114,4,106,6,22,77,45,32,37553,455,85.8426
28,32,32,GRFrough,10011005,ts,4111,NWC,96074176,130,4,122,7,24,91,54,37,47261,446,204.5919
28,32,32,GRFrough,10011007,ts,4111,NWC,84752158,100,4,92,6,19,67,39,27,32125,378,155.6571
28,32,32,GRFrough,10011008,ts,4111,NWC,94084457,86,4,78,5,16,58,34,24,27655,309,125.2586
28,32,32,GRFrough,10011009,ts,4111,NWC,75566352,109,4,101,6,21,73,44,29,34134,449,188.0331
28,32,32,GRFrough,10011010,ts,4111,NWC,101264476,135,4,127,7,26,94,55,39,47650,495,194.8887
28,32,32,GRFrough,10021004,ts,4111,NWC,177882234,129,4,121,7,24,90,53,37,44133,479,93.0074
28,32,32,GRFrough,10031001,ts,4111,NWC,105799763,124,4,116,7,24,84,49,35,41539,496,157.788
28,32,32,GRFrough,10031002,ts,4111,NWC,183408184,94,4,86,5,17,63,37,26,31943,320,75.1325
28,32,32,GRFrough,10031004,ts,4111,NWC,153466728,107,4,99,5,19,74,42,31,39358,360,102.3307
28,32,32,GRFrough,10031005,ts,4111,NWC,149549061,131,4,124,8,26,88,52,36,39068,604,98.2111
28,32,32,GRFrough,10031006,ts,4111,NWC,98235286,125,4,117,7,24,85,51,34,43344,471,188.4879
28,32,32,GRFrough,10031007,ts,4111,NWC,95364267,128,4,120,6,24,89,51,37,46877,442,197.5546
28,32,32,GRFrough,10031008,ts,4111,NWC,121005994,111,4,103,6,21,76,43,32,39092,394,122.8004
28,32,32,GRFrough,10031009,ts,4111,NWC,133254415,109,4,101,6,20,75,44,30,35877,405,115.8929
28,32,32,GRFrough,10031010,ts,4111,NWC,122400625,119,4,112,6,23,81,47,34,42115,453,153.4444
28,32,32,GRFrough,10051002,ts,4111,NWC,80379813,132,4,124,7,24,92,55,37,44796,472,220.6596
28,32,32,GRFrough,10051004,ts,4111,NWC,209710895,128,4,120,7,24,89,52,36,43010,479,79.3279
28,32,32,GRFrough,10051007,ts,4111,NWC,122695058,138,4,130,7,25,97,56,40,47685,514,134.5092
28,32,32,GRFrough,10051008,ts,4111,NWC,87788389,137,4,130,6,25,98,57,40,54527,421,247.2393
28,32,32,GRFrough,10061001,ts,4111,NWC,130973107,119,4,111,7,22,82,48,33,42777,447,133.2568
28,32,32,GRFrough,10061002,ts,4111,NWC,187739330,136,4,129,8,27,93,55,38,47531,552,104.8139
28,32,32,GRFrough,10061004,ts,4111,NWC,138220966,149,4,141,8,28,105,62,43,55689,533,144.896
28,32,32,GRFrough,10061005,ts,4111,NWC,162308605,110,4,103,7,23,72,42,29,34900,521,85.4402
28,32,32,GRFrough,10061007,ts,4111,NWC,158446987,117,4,110,8,24,77,45,32,35037,559,81.6825
28,32,32,GRFrough,10061008,ts,4111,NWC,185928034,129,4,121,7,24,90,53,36,45129,456,101.9349
28,32,32,GRFrough,10061009,ts,4111,NWC,150840939,101,4,93,5,20,67,40,28,34283,397,97.601
28,32,32,GRFrough,10061010,ts,4111,NWC,117139219,113,4,105,6,21,78,45,32,40864,396,148.8907
28,32,32,GRFrough,10071002,ts,4111,NWC,167036651,122,4,115,6,23,85,49,36,45915,423,112.9008
28,32,32,GRFrough,10071004,ts,4111,NWC,190470457,116,4,109,6,22,81,47,34,41556,427,88.1713
28,32,32,GRFrough,10071008,ts,4111,NWC,76879099,142,4,134,8,28,97,58,39,47078,572,228.6892
28,32,32,GRFrough,10081002,ts,4111,NWC,130160550,120,4,112,6,22,84,49,35,44707,395,139.3379
28,32,32,GRFrough,10081004,ts,4111,NWC,205655006,100,4,93,6,19,67,39,28,34640,404,64.2725
28,32,32,GRFrough,10091002,ts,4111,NWC,100041181,137,4,129,7,25,96,56,40,50482,481,198.3329
28,32,32,GRFrough,10091004,ts,4111,NWC,194897565,123,4,116,7,23,85,50,35,41943,497,76.6142
28,32,32,GRFrough,10091005,ts,4111,NWC,69804222,88,4,80,4,15,60,35,25,29352,298,184.6197
28,32,32,GRFrough,10091007,ts,4111,NWC,89287872,123,4,115,6,23,85,49,36,45964,463,192.4446
28,32,32,GRFrough,10091008,ts,4111,NWC,85992103,102,4,94,5,18,71,42,29,35820,326,181.6633
28,32,32,GRFrough,10101002,ts,4111,NWC,96820985,125,4,117,7,23,86,51,34,41065,482,164.5132
28,32,32,GRFrough,10101004,ts,4111,NWC,183862247,143,4,135,8,27,99,58,40,49429,547,100.5417
28,32,32,GRFrough,10101005,ts,4111,NWC,68134702,99,4,91,5,18,67,39,28,33371,370,206.9021
28,32,32,GRFrough,10101007,ts,4111,NWC,136614510,136,4,129,6,25,97,55,41,52616,425,151.4715
28,32,32,GRFrough,10101008,ts,4111,NWC,122263939,129,4,121,7,24,90,52,37,47841,450,158.8104
28,32,32,GRFrough,10101009,ts,4111,NWC,88268958,99,4,91,5,18,67,39,28,32370,383,155.898
28,32,32,GRFsmooth,10011002,ts,4111,NWC,2192628583,136,4,128,8,28,91,54,37,43531,618,6.3037
28,32,32,GRFsmooth,10011004,ts,4111,NWC,1935825471,169,4,161,11,34,115,71,44,48020,785,6.7062
28,32,32,GRFsmooth,10011005,ts,4111,NWC,1278120742,154,4,146,10,32,103,63,40,47729,737,11.3319
28,32,32,GRFsmooth,10011007,ts,4111,NWC,370907675,118,4,109,7,22,79,46,33,39371,468,31.1302
28,32,32,GRFsmooth,10011008,ts,4111,NWC,1919398687,125,4,116,8,25,82,48,33,36803,594,5.5006
28,32,32,GRFsmooth,10011009,ts,4111,NWC,1352756959,160,4,152,9,33,108,65,43,52248,662,11.2122
28,32,32,GRFsmooth,10011010,ts,4111,NWC,2398552683,201,4,193,13,42,136,82,53,62650,976,5.9675
28,32,32,GRFsmooth,10021004,ts,4111,NWC,6078514050,117,4,108,7,25,76,45,30,38217,481,2.2306
28,32,32,GRFsmooth,10031001,ts,4111,NWC,5859784556,155,4,146,10,33,102,61,40,47537,717,2.6656
28,32,32,GRFsmooth,10031002,ts,4111,NWC,4072302973,123,4,115,7,26,81,50,30,39312,518,3.7411
28,32,32,GRFsmooth,10031004,ts,4111,NWC,8720841903,119,4,110,8,27,75,47,28,36021,574,1.2903
28,32,32,GRFsmooth,10031005,ts,4111,NWC,6930003006,134,4,125,8,29,87,54,34,42846,573,2.1671
28,32,32,GRFsmooth,10031006,ts,4111,NWC,3809446997,142,4,134,9,31,93,57,36,40850,678,4.1164
28,32,32,GRFsmooth,10031007,ts,4111,NWC,6102346267,144,4,136,9,30,96,60,36,43957,616,2.6811
28,32,32,GRFsmooth,10031008,ts,4111,NWC,2090817265,136,4,128,9,29,89,55,34,40449,652,7.1126
28,32,32,GRFsmooth,10031009,ts,4111,NWC,3169266845,130,4,122,7,27,87,53,34,44699,521,4.681
28,32,32,GRFsmooth,10031010,ts,4111,NWC,2550004137,200,4,192,13,42,135,83,51,62289,950,6.0545
28,32,32,GRFsmooth,10051002,ts,4111,NWC,3489604383,139,4,131,8,29,92,57,35,43961,578,3.8716
28,32,32,GRFsmooth,10051004,ts,4111,NWC,929198859,90,4,82,5,17,59,34,25,31486,308,15.2589
28,32,32,GRFsmooth,10051007,ts,4111,NWC,1267127657,140,4,132,9,29,92,56,36,43255,651,11.9586
28,32,32,GRFsmooth,10051008,ts,4111,NWC,2641344483,124,4,116,6,24,85,50,35,44349,426,6.1119
28,32,32,GRFsmooth,10061001,ts,4111,NWC,998903875,143,4,135,9,28,97,58,39,44902,632,13.6172
28,32,32,GRFsmooth,10061002,ts,4111,NWC,1093335490,129,4,121,8,27,86,51,34,40818,575,11.729
28,32,32,GRFsmooth,10061004,ts,4111,NWC,3032271612,148,4,140,9,31,100,60,40,47223,638,5.1861
28,32,32,GRFsmooth,10061005,ts,4111,NWC,1356711709,115,4,107,6,22,78,46,32,38401,453,10.3711
28,32,32,GRFsmooth,10061007,ts,4111,NWC,767096158,135,4,127,8,27,91,55,36,42997,547,21.9894
28,32,32,GRFsmooth,10061008,ts,4111,NWC,750194750,132,4,123,7,26,89,52,37,44351,532,19.5824
28,32,32,GRFsmooth,10061009,ts,4111,NWC,1340901494,121,4,113,6,23,82,48,34,41335,420,10.9004
28,32,32,GRFsmooth,10061010,ts,4111,NWC,1367176930,181,4,173,12,39,120,73,47,54772,886,11.8091
28,32,32,GRFsmooth,10071002,ts,4111,NWC,1691797832,122,4,113,6,23,83,50,33,43511,431,9.5859
28,32,32,GRFsmooth,10071004,ts,4111,NWC,2163936616,141,4,133,9,28,95,57,37,42228,631,6.138
28,32,32,GRFsmooth,10071008,ts,4111,NWC,1639328430,132,4,124,8,26,90,53,36,44510,538,8.9966
28,32,32,GRFsmooth,10081002,ts,4111,NWC,735397096,104,4,96,5,20,70,41,29,35229,370,19.4008
28,32,32,GRFsmooth,10081004,ts,4111,NWC,4633448114,111,4,102,6,23,73,44,29,35607,456,2.4502
28,32,32,GRFsmooth,10091002,ts,4111,NWC,2483493688,107,4,98,6,21,71,43,28,36369,397,5.1675
28,32,32,GRFsmooth,10091004,ts,4111,NWC,2005629276,128,4,120,8,26,85,50,35,42033,519,6.2448
28,32,32,GRFsmooth,10091005,ts,4111,NWC,1610084355,98,4,90,5,19,65,38,27,35670,352,8.4828
28,32,32,GRFsmooth,10091007,ts,4111,NWC,1432067894,145,4,136,8,28,100,58,41,50738,534,10.7143
28,32,32,GRFsmooth,10091008,ts,4111,NWC,1100107608,108,4,99,6,20,72,42,29,35432,417,10.4526
28,32,32,GRFsmooth,10101002,ts,4111,NWC,2270731530,171,4,162,12,36,112,70,42,48634,846,5.9024
28,32,32,GRFsmooth,10101004,ts,4111,NWC,3106598072,165,4,156,10,33,112,66,45,52668,704,3.9164
28,32,32,GRFsmooth,10101005,ts,4111,NWC,2299669915,166,4,158,11,34,111,67,44,51730,763,6.4633
28,32,32,GRFsmooth,10101007,ts,4111,NWC,1986458394,172,4,163,11,36,115,68,46,52370,841,7.1191
28,32,32,GRFsmooth,10101008,ts,4111,NWC,1014648180,163,4,154,10,32,111,66,44,50470,737,12.0187
28,32,32,GRFsmooth,10101009,ts,4111,NWC,755517558,151,4,143,8,29,105,62,43,51840,547,17.0006
28,32,32,LogGRF,10011002,ts,4111,NWC,1965745245,122,4,114,8,25,80,50,30,38963,508,5.7642
28,32,32,LogGRF,10011004,ts,4111,NWC,6480024361,268,4,260,18,60,179,119,60,85963,1335,1.9206
28,32,32,LogGRF,10011005,ts,4111,NWC,17205783639,111,4,103,6,24,72,46,26,36345,457,0.73
28,32,32,LogGRF,10011007,ts,4111,NWC,1335892375,165,4,156,11,36,108,66,41,50887,783,9.5087
28,32,32,LogGRF,10011008,ts,4111,NWC,3919672441,170,4,162,11,38,111,72,39,52380,831,3.4423
28,32,32,LogGRF,10011009,ts,4111,NWC,14659395961,135,4,127,9,31,86,59,27,38825,678,0.7893
28,32,32,LogGRF,10011010,ts,4111,NWC,8878243714,145,4,136,9,32,95,61,34,46845,613,1.5
28,32,32,LogGRF,10021004,ts,4111,NWC,4252932996,215,4,207,14,45,146,95,50,65402,947,3.1275
28,32,32,LogGRF,10031001,ts,4111,NWC,8694492219,206,4,197,16,52,127,80,46,60644,1169,1.4562
28,32,32,LogGRF,10031002,ts,4111,NWC,5428342044,182,4,174,13,44,115,72,42,56283,932,2.1216
28,32,32,LogGRF,10031004,ts,4111,NWC,10608431310,366,4,357,26,99,229,147,80,117262,2034,1.8293
28,32,32,LogGRF,10031005,ts,4111,NWC,9054858322,200,4,191,13,47,129,85,44,61005,995,1.7494
28,32,32,LogGRF,10031006,ts,4111,NWC,5788811237,184,4,176,13,43,119,75,44,56492,920,2.3711
