W,Size a,Size b,Type,instances,algorithm,alg mode,initial solution,Obj F,opt time [ms],initial sol [ms],iteration [ms],multipliers [ms],red costs [ms],base changes [ms],step 1 [ms],step 2 [ms],base changes,iterations,init sol improvement [%]
28,32,32,CauchyDensity,10011002,ts,4111,NWC,1792196707,89,4,81,6,20,54,34,20,27175,443,1.0116
28,32,32,CauchyDensity,10011004,ts,4111,NWC,2397780369,76,4,68,4,16,47,30,17,23474,341,1.1046
28,32,32,CauchyDensity,10011005,ts,4111,NWC,17909851849,69,5,60,4,14,41,27,15,22328,325,0.1492
28,32,32,CauchyDensity,10011007,ts,4111,NWC,6243912576,67,4,59,4,14,41,27,14,20578,298,0.5081
28,32,32,CauchyDensity,10011008,ts,4111,NWC,5688298977,58,4,50,3,14,32,20,12,18742,307,0.5385
28,32,32,CauchyDensity,10011009,ts,4111,NWC,4097564224,73,4,65,4,16,44,29,15,23029,360,0.791
28,32,32,CauchyDensity,10011010,ts,4111,NWC,17220924118,59,5,51,3,12,35,23,12,19650,252,0.2002
28,32,32,CauchyDensity,10021004,ts,4111,NWC,1358071384,145,5,136,9,29,97,61,36,42764,654,3.7833
28,32,32,CauchyDensity,10031001,ts,4111,NWC,5121354077,81,4,72,5,19,47,30,17,26009,387,0.4611
28,32,32,CauchyDensity,10031002,ts,4111,NWC,2252576302,110,4,101,6,23,72,44,28,33913,486,1.6203
28,32,32,CauchyDensity,10031004,ts,4111,NWC,1340888028,116,4,107,7,21,78,47,31,35879,449,3.841
28,32,32,CauchyDensity,10031005,ts,4111,NWC,6852192960,114,5,105,7,24,73,45,28,36466,494,0.9927
28,32,32,CauchyDensity,10031006,ts,4111,NWC,5282453447,134,5,124,8,27,88,55,33,41720,584,1.6249
28,32,32,CauchyDensity,10031007,ts,4111,NWC,1621406347,131,5,123,7,26,88,54,33,42280,534,5.3208
28,32,32,CauchyDensity,10031008,ts,4111,NWC,1286987748,107,4,98,6,21,70,43,27,34516,439,5.42
28,32,32,CauchyDensity,10031009,ts,4111,NWC,3964919205,131,5,122,8,26,87,55,32,40007,566,2.1792
28,32,32,CauchyDensity,10031010,ts,4111,NWC,4552295541,126,5,117,8,27,82,50,31,39367,576,1.9292
28,32,32,CauchyDensity,10051002,ts,4111,NWC,15509602618,138,4,130,7,28,94,58,35,47174,537,0.3824
28,32,32,CauchyDensity,10051004,ts,4111,NWC,10991486054,121,4,113,7,26,79,49,30,38116,547,0.6276
28,32,32,CauchyDensity,10051007,ts,4111,NWC,11658175111,97,4,89,6,21,62,37,24,30561,428,0.6632
28,32,32,CauchyDensity,10051008,ts,4111,NWC,9303877284,121,5,112,7,25,80,48,32,42297,484,1.1073
28,32,32,CauchyDensity,10061001,ts,4111,NWC,17730415512,71,4,63,3,16,43,29,15,24533,297,0.2033
28,32,32,CauchyDensity,10061002,ts,4111,NWC,13310503857,138,4,129,7,29,91,60,32,45536,614,0.5342
28,32,32,CauchyDensity,10061004,ts,4111,NWC,8522432379,117,5,108,7,24,77,47,29,37946,481,1.1736
28,32,32,CauchyDensity,10061005,ts,4111,NWC,4281530985,141,4,132,8,28,95,57,37,45475,568,2.5664
28,32,32,CauchyDensity,10061007,ts,4111,NWC,5714245194,133,4,124,8,28,88,53,35,42416,586,2.1571
28,32,32,CauchyDensity,10061008,ts,4111,NWC,5520715675,126,5,117,7,25,84,51,33,39907,515,2.284
28,32,32,CauchyDensity,10061009,ts,4111,NWC,10977793522,113,5,104,6,23,74,47,27,34537,443,1.0618
28,32,32,CauchyDensity,10061010,ts,4111,NWC,262412234,122,4,113,6,23,84,49,34,41280,452,54.3398
28,32,32,CauchyDensity,10071002,ts,4111,NWC,3071265843,157,5,148,9,32,106,66,39,51115,654,2.2598
28,32,32,CauchyDensity,10071004,ts,4111,NWC,1217239633,122,4,114,7,24,82,51,31,40529,464,7.4626
28,32,32,CauchyDensity,10071008,ts,4111,NWC,524243513,121,4,113,6,22,84,49,35,42213,408,23.105
28,32,32,CauchyDensity,10081002,ts,4111,NWC,2838665716,145,4,136,9,31,96,61,35,46657,631,2.2109
28,32,32,CauchyDensity,10081004,ts,4111,NWC,827596960,120,4,111,7,23,81,48,32,40981,441,10.9508
28,32,32,CauchyDensity,10091002,ts,4111,NWC,3570958089,147,4,138,8,31,98,62,35,50547,623,1.9355
28,32,32,CauchyDensity,10091004,ts,4111,NWC,1513708625,97,4,88,5,19,63,38,25,31297,374,5.1639
28,32,32,CauchyDensity,10091005,ts,4111,NWC,11776812105,115,4,106,6,25,74,45,29,37253,484,0.8355
28,32,32,CauchyDensity,10091007,ts,4111,NWC,3626689554,97,5,89,5,18,65,41,24,31078,350,2.9858
28,32,32,CauchyDensity,10091008,ts,4111,NWC,1792520801,127,4,118,7,25,86,52,34,40602,492,6.8222
28,32,32,CauchyDensity,10101002,ts,4111,NWC,12660462669,140,5,131,8,29,94,60,34,47885,568,0.5294
28,32,32,CauchyDensity,10101004,ts,4111,NWC,8245624221,95,5,86,5,19,61,37,24,32523,358,1.1139
28,32,32,CauchyDensity,10101005,ts,4111,NWC,3096475867,131,4,122,8,27,87,51,35,42911,546,3.4877
28,32,32,CauchyDensity,10101007,ts,4111,NWC,5851790240,135,4,127,7,27,92,54,38,49905,484,2.1791
28,32,32,CauchyDensity,10101008,ts,4111,NWC,5450830299,122,4,114,6,24,83,49,33,43236,430,2.5037
28,32,32,CauchyDensity,10101009,ts,4111,NWC,10834612538,101,5,92,5,20,66,40,26,35325,351,1.1846
28,32,32,ClassicImages,10011002,ts,4111,NWC,642064623,136,5,127,8,29,88,52,36,40623,621,25.2605
28,32,32,ClassicImages,10011004,ts,4111,NWC,421791280,128,4,120,9,25,86,51,35,40356,481,37.9998
28,32,32,ClassicImages,10011005,ts,4111,NWC,540989401,135,4,127,8,28,90,54,36,44321,543,34.0448
28,32,32,ClassicImages,10011007,ts,4111,NWC,865212037,175,4,166,11,37,117,70,46,53255,746,21.6093
28,32,32,ClassicImages,10011008,ts,4111,NWC,609060037,145,5,136,8,30,97,58,39,45445,555,30.9426
28,32,32,ClassicImages,10011009,ts,4111,NWC,1697348934,144,4,136,10,32,93,56,37,40836,700,10.2222
28,32,32,ClassicImages,10011010,ts,4111,NWC,1331537051,180,4,172,13,39,119,75,43,47133,889,12.1469
28,32,32,ClassicImages,10021004,ts,4111,NWC,164211261,165,4,157,10,33,113,67,46,49851,709,98.3176
28,32,32,ClassicImages,10031001,ts,4111,NWC,764360198,124,4,116,8,26,81,49,32,36220,534,19.2217
28,32,32,ClassicImages,10031002,ts,4111,NWC,374909903,120,4,112,7,24,80,47,33,35854,465,36.1454
28,32,32,ClassicImages,10031004,ts,4111,NWC,285454110,105,4,96,5,19,71,42,29,35554,300,51.1773
28,32,32,ClassicImages,10031005,ts,4111,NWC,326952787,101,4,92,6,19,67,39,28,31087,335,36.7897
28,32,32,ClassicImages,10031006,ts,4111,NWC,487928608,123,5,114,7,25,81,48,33,36057,476,27.3239
28,32,32,ClassicImages,10031007,ts,4111,NWC,535268331,135,4,127,8,27,91,54,37,40162,521,27.0926
28,32,32,ClassicImages,10031008,ts,4111,NWC,371014643,114,4,106,6,22,76,45,31,35362,417,36.5557
28,32,32,ClassicImages,10031009,ts,4111,NWC,1258549336,116,4,107,7,23,76,46,30,33416,481,10.43
28,32,32,ClassicImages,10031010,ts,4111,NWC,843443801,146,4,137,9,29,98,59,39,43836,562,20.781
28,32,32,ClassicImages,10051002,ts,4111,NWC,155820730,88,4,80,4,16,59,34,25,30325,292,87.9583
28,32,32,ClassicImages,10051004,ts,4111,NWC,208241169,127,5,118,7,24,86,50,35,36810,485,59.7541
28,32,32,ClassicImages,10051007,ts,4111,NWC,186011698,122,4,114,7,23,83,48,35,37685,444,80.6711
28,32,32,ClassicImages,10051008,ts,4111,NWC,318902136,133,4,125,9,26,89,52,37,41994,520,46.9735
28,32,32,ClassicImages,10061001,ts,4111,NWC,1163234480,166,4,157,11,35,110,65,45,47138,744,15.0696
28,32,32,ClassicImages,10061002,ts,4111,NWC,187296273,142,4,133,7,26,99,58,41,46287,475,88.6789
28,32,32,ClassicImages,10061004,ts,4111,NWC,362148416,165,4,156,9,31,114,68,46,48675,612,47.1805
28,32,32,ClassicImages,10061005,ts,4111,NWC,297953779,129,4,121,8,26,87,50,36,39868,517,50.3758
28,32,32,ClassicImages,10061007,ts,4111,NWC,254800901,147,4,138,8,28,102,60,42,47473,515,68.6001
28,32,32,ClassicImages,10061008,ts,4111,NWC,359332959,107,4,99,6,21,71,41,30,32680,402,32.9107
28,32,32,ClassicImages,10061009,ts,4111,NWC,822271864,135,4,126,8,26,92,54,38,42944,498,20.5818
28,32,32,ClassicImages,10061010,ts,4111,NWC,474006191,142,4,133,8,29,94,56,38,42660,577,42.0963
28,32,32,ClassicImages,10071002,ts,4111,NWC,170977130,107,4,99,6,21,72,41,30,33027,384,78.6883
28,32,32,ClassicImages,10071004,ts,4111,NWC,376860113,143,4,135,9,28,97,58,39,41349,574,35.0116
28,32,32,ClassicImages,10071008,ts,4111,NWC,353883358,144,4,136,8,28,98,57,40,44752,532,52.6543
28,32,32,ClassicImages,10081002,ts,4111,NWC,224243244,115,4,107,6,21,79,46,33,37228,375,69.2697
28,32,32,ClassicImages,10081004,ts,4111,NWC,187999133,157,4,149,9,32,107,64,42,48661,656,99.5132
28,32,32,ClassicImages,10091002,ts,4111,NWC,838588231,122,4,114,7,23,83,49,33,38876,442,18.5248
28,32,32,ClassicImages,10091004,ts,4111,NWC,1133114680,126,4,117,8,27,81,48,32,33982,608,11.4249
28,32,32,ClassicImages,10091005,ts,4111,NWC,723010961,103,4,94,6,20,68,40,27,29471,401,16.458
28,32,32,ClassicImages,10091007,ts,4111,NWC,689172553,118,4,110,6,22,81,47,33,38070,416,23.8354
28,32,32,ClassicImages,10091008,ts,4111,NWC,1437741601,143,4,135,9,29,96,56,39,44555,583,11.1482
28,32,32,ClassicImages,10101002,ts,4111,NWC,414270674,168,4,160,10,34,115,69,46,52675,684,48.9251
28,32,32,ClassicImages,10101004,ts,4111,NWC,643276729,164,4,155,11,33,110,66,44,47152,693,24.2153
28,32,32,ClassicImages,10101005,ts,4111,NWC,644833928,146,4,137,9,30,97,58,39,43254,628,26.0425
28,32,32,ClassicImages,10101007,ts,4111,NWC,506634068,152,4,144,9,31,103,61,42,50148,574,36.9365
28,32,32,ClassicImages,10101008,ts,4111,NWC,496835542,165,4,157,10,34,111,67,45,50415,701,40.9714
28,32,32,ClassicImages,10101009,ts,4111,NWC,1740589599,139,4,131,9,30,91,54,37,39927,600,9.7723
28,32,32,GRFmoderate,10011002,ts,4111,NWC,417043033,125,4,116,7,24,85,50,35,41483,494,40.0795
28,32,32,GRFmoderate,10011004,ts,4111,NWC,2058476023,149,4,141,10,31,99,59,39,43287,664,7.7142
28,32,32,GRFmoderate,10011005,ts,4111,NWC,622772266,123,4,114,7,25,82,48,33,38201,528,24.7597
28,32,32,GRFmoderate,10011007,ts,4111,NWC,406183035,102,4,93,6,19,68,41,27,31926,404,33.7095
28,32,32,GRFmoderate,10011008,ts,4111,NWC,1317918110,148,4,140,9,29,101,61,40,43249,659,8.7309
28,32,32,GRFmoderate,10011009,ts,4111,NWC,288510370,111,4,103,6,21,76,44,32,38184,403,53.3764
28,32,32,GRFmoderate,10011010,ts,4111,NWC,209422385,107,4,99,5,20,73,43,30,37925,358,74.2672
28,32,32,GRFmoderate,10021004,ts,4111,NWC,1256712988,107,4,98,6,22,70,41,28,33699,446,10.6869
28,32,32,GRFmoderate,10031001,ts,4111,NWC,908194803,173,4,165,11,35,118,71,47,55636,746,20.2322
28,32,32,GRFmoderate,10031002,ts,4111,NWC,949126052,129,4,121,7,25,88,52,36,43966,470,17.7684
28,32,32,GRFmoderate,10031004,ts,4111,NWC,1120855514,166,4,158,11,34,111,67,44,50007,779,15.3762
28,32,32,GRFmoderate,10031005,ts,4111,NWC,632468053,104,4,96,6,20,70,41,28,35736,375,25.8733
28,32,32,GRFmoderate,10031006,ts,4111,NWC,885827463,133,4,125,9,28,87,53,34,37533,645,14.9294
28,32,32,GRFmoderate,10031007,ts,4111,NWC,805376224,122,4,114,7,25,81,48,33,39150,499,20.3597
28,32,32,GRFmoderate,10031008,ts,4111,NWC,358653571,128,4,119,8,24,86,52,34,41208,465,40.9109
28,32,32,GRFmoderate,10031009,ts,4111,NWC,632453437,117,4,108,6,22,79,45,34,41308,433,23.2966
28,32,32,GRFmoderate,10031010,ts,4111,NWC,670620770,176,4,168,11,36,119,72,47,53691,801,26.5361
28,32,32,GRFmoderate,10051002,ts,4111,NWC,364164385,104,4,96,5,19,71,42,29,34740,352,42.8982
28,32,32,GRFmoderate,10051004,ts,4111,NWC,746068593,161,4,153,10,33,109,66,43,49726,702,22.5306
28,32,32,GRFmoderate,10051007,ts,4111,NWC,299561843,104,4,96,5,19,72,41,30,37564,324,48.191
28,32,32,GRFmoderate,10051008,ts,4111,NWC,922413636,109,4,101,6,21,74,44,30,37638,380,14.4946
28,32,32,GRFmoderate,10061001,ts,4111,NWC,1276934640,95,4,87,5,18,63,38,25,30676,355,10.715
28,32,32,GRFmoderate,10061002,ts,4111,NWC,893322779,167,4,159,12,36,110,66,44,47336,846,16.3354
28,32,32,GRFmoderate,10061004,ts,4111,NWC,740953195,165,4,156,11,34,111,67,44,51659,728,22.0199
28,32,32,GRFmoderate,10061005,ts,4111,NWC,379468874,108,4,100,6,20,73,43,29,33480,406,36.5756
28,32,32,GRFmoderate,10061007,ts,4111,NWC,867378169,107,4,99,6,21,71,42,28,34394,436,17.1366
28,32,32,GRFmoderate,10061008,ts,4111,NWC,1307654414,144,4,136,9,29,96,60,36,41716,652,9.8842
28,32,32,GRFmoderate,10061009,ts,4111,NWC,876517322,153,4,145,10,32,102,60,41,45663,740,18.0861
28,32,32,GRFmoderate,10061010,ts,4111,NWC,996419923,102,4,93,5,19,69,41,27,34140,339,16.2654
28,32,32,GRFmoderate,10071002,ts,4111,NWC,407470852,148,4,140,9,29,102,61,40,46850,606,41.9974
28,32,32,GRFmoderate,10071004,ts,4111,NWC,1517326078,122,4,114,7,24,81,48,33,40567,484,10.0136
28,32,32,GRFmoderate,10071008,ts,4111,NWC,954142553,113,4,105,6,23,75,45,30,37198,441,14.982
28,32,32,GRFmoderate,10081002,ts,4111,NWC,1362745945,135,4,127,8,26,92,54,38,43221,518,11.4023
28,32,32,GRFmoderate,10081004,ts,4111,NWC,1467827953,150,4,142,9,29,103,62,41,49265,593,11.0217
28,32,32,GRFmoderate,10091002,ts,4111,NWC,349434325,140,4,131,7,26,97,57,40,46420,512,45.1939
28,32,32,GRFmoderate,10091004,ts,4111,NWC,1436318905,116,4,108,6,23,78,46,32,40529,424,10.7541
