Size,Instance type,Instance,Algorithm,ObjF Value,Total time [ms],ObjF time [ms]
32,GRFsmooth,10101002,Rnetworkflow,2270731530,260,39
32,GRFsmooth,10101004,Rnetworkflow,3106598072,258,41
32,GRFsmooth,10101005,Rnetworkflow,2299669915,297,40
32,GRFsmooth,10101007,Rnetworkflow,1986458394,288,40
32,GRFsmooth,10101008,Rnetworkflow,1014648180,246,40
32,GRFsmooth,10101009,Rnetworkflow,755517558,215,41
32,LogGRF,10011002,Rnetworkflow,1965745245,247,40
32,LogGRF,10011004,Rnetworkflow,6480024361,271,41
32,LogGRF,10011005,Rnetworkflow,17205783639,295,40
32,LogGRF,10011007,Rnetworkflow,1335892375,230,39
32,LogGRF,10011008,Rnetworkflow,3919672441,276,40
32,LogGRF,10011009,Rnetworkflow,14659395961,285,40
32,LogGRF,10011010,Rnetworkflow,8878243714,292,40
32,LogGRF,10021004,Rnetworkflow,4252932996,254,40
32,LogGRF,10031001,Rnetworkflow,8694492219,317,41
32,LogGRF,10031002,Rnetworkflow,5428342044,262,41
32,LogGRF,10031004,Rnetworkflow,10608431310,338,41
32,LogGRF,10031005,Rnetworkflow,9054858322,307,41
32,LogGRF,10031006,Rnetworkflow,5788811237,302,40
32,LogGRF,10031007,Rnetworkflow,6597397664,278,40
32,LogGRF,10031008,Rnetworkflow,5800943878,296,41
32,LogGRF,10031009,Rnetworkflow,8259967534,288,41
32,LogGRF,10031010,Rnetworkflow,4608541127,279,40
32,LogGRF,10051002,Rnetworkflow,10377222264,290,42
32,LogGRF,10051004,Rnetworkflow,9404884288,274,40
32,LogGRF,10051007,Rnetworkflow,14474713246,260,40
32,LogGRF,10051008,Rnetworkflow,6192225618,276,40
32,LogGRF,10061001,Rnetworkflow,3229519112,253,41
32,LogGRF,10061002,Rnetworkflow,1815590147,224,41
32,LogGRF,10061004,Rnetworkflow,8610066159,264,39
32,LogGRF,10061005,Rnetworkflow,16409543573,293,41
32,LogGRF,10061007,Rnetworkflow,4607070487,249,41
32,LogGRF,10061008,Rnetworkflow,4177327967,249,45
32,LogGRF,10061009,Rnetworkflow,7047150347,261,39
32,LogGRF,10061010,Rnetworkflow,8063474482,252,40
32,LogGRF,10071002,Rnetworkflow,2676762566,297,40
32,LogGRF,10071004,Rnetworkflow,5871678556,315,40
32,LogGRF,10071008,Rnetworkflow,3351691604,244,40
32,LogGRF,10081002,Rnetworkflow,1203369810,237,41
32,LogGRF,10081004,Rnetworkflow,2979160606,238,40
32,LogGRF,10091002,Rnetworkflow,8119403846,265,41
32,LogGRF,10091004,Rnetworkflow,12879358992,284,41
32,LogGRF,10091005,Rnetworkflow,10517415150,254,40
32,LogGRF,10091007,Rnetworkflow,16324292722,321,41
32,LogGRF,10091008,Rnetworkflow,8015762412,267,40
32,LogGRF,10101002,Rnetworkflow,3990752541,282,41
32,LogGRF,10101004,Rnetworkflow,4158961923,252,40
32,LogGRF,10101005,Rnetworkflow,2567696637,261,40
32,LogGRF,10101007,Rnetworkflow,7671692129,255,41
32,LogGRF,10101008,Rnetworkflow,2385191327,236,40
32,LogGRF,10101009,Rnetworkflow,6675200023,297,40
32,LogitGRF,10011002,Rnetworkflow,1734786131,287,39
32,LogitGRF,10011004,Rnetworkflow,1099587926,298,41
32,LogitGRF,10011005,Rnetworkflow,669189205,277,40
32,LogitGRF,10011007,Rnetworkflow,1459837111,239,41
32,LogitGRF,10011008,Rnetworkflow,585110612,251,40
32,LogitGRF,10011009,Rnetworkflow,3305342258,298,40
32,LogitGRF,10011010,Rnetworkflow,1528658852,267,39
32,LogitGRF,10021004,Rnetworkflow,814646253,283,42
32,LogitGRF,10031001,Rnetworkflow,1541589601,246,40
32,LogitGRF,10031002,Rnetworkflow,2276718360,333,40
32,LogitGRF,10031004,Rnetworkflow,2375471039,359,40
32,LogitGRF,10031005,Rnetworkflow,956947752,266,39
32,LogitGRF,10031006,Rnetworkflow,1400098481,240,41
32,LogitGRF,10031007,Rnetworkflow,1128095288,306,39
32,LogitGRF,10031008,Rnetworkflow,2269511669,236,40
32,LogitGRF,10031009,Rnetworkflow,1151562337,256,40
32,LogitGRF,10031010,Rnetworkflow,1165578561,255,40
32,LogitGRF,10051002,Rnetworkflow,1488019704,278,39
32,LogitGRF,10051004,Rnetworkflow,1281138037,246,40
32,LogitGRF,10051007,Rnetworkflow,1658562170,230,39
32,LogitGRF,10051008,Rnetworkflow,1114201435,223,40
32,LogitGRF,10061001,Rnetworkflow,771856370,244,39
32,LogitGRF,10061002,Rnetworkflow,1458165119,256,40
32,LogitGRF,10061004,Rnetworkflow,1362585730,298,40
32,LogitGRF,10061005,Rnetworkflow,917695103,274,39
32,LogitGRF,10061007,Rnetworkflow,1033728317,246,40
32,LogitGRF,10061008,Rnetworkflow,1041451750,237,40
32,LogitGRF,10061009,Rnetworkflow,2841771926,288,39
32,LogitGRF,10061010,Rnetworkflow,1130739680,298,40
32,LogitGRF,10071002,Rnetworkflow,3031423402,291,40
32,LogitGRF,10071004,Rnetworkflow,2769335017,280,40
32,LogitGRF,10071008,Rnetworkflow,2399560381,250,41
32,LogitGRF,10081002,Rnetworkflow,1995448687,326,40
32,LogitGRF,10081004,Rnetworkflow,1228374494,298,42
32,LogitGRF,10091002,Rnetworkflow,2394452805,330,39
32,LogitGRF,10091004,Rnetworkflow,3237239400,239,39
32,LogitGRF,10091005,Rnetworkflow,2067002647,244,41
32,LogitGRF,10091007,Rnetworkflow,3199824953,310,39
32,LogitGRF,10091008,Rnetworkflow,4231362120,252,39
32,LogitGRF,10101002,Rnetworkflow,1155488377,308,40
32,LogitGRF,10101004,Rnetworkflow,1579418934,228,40
32,LogitGRF,10101005,Rnetworkflow,1317770009,247,41
32,LogitGRF,10101007,Rnetworkflow,1949831135,249,40
32,LogitGRF,10101008,Rnetworkflow,2038417282,222,39
32,LogitGRF,10101009,Rnetworkflow,1331916570,237,40
32,MicroscopyImages,10011002,Rnetworkflow,1113439145,99,31
32,MicroscopyImages,10011004,Rnetworkflow,4375274325,108,31
32,MicroscopyImages,10011005,Rnetworkflow,6404851276,103,30
32,MicroscopyImages,10011007,Rnetworkflow,5636671272,94,28
32,MicroscopyImages,10011008,Rnetworkflow,6309242060,121,32
32,MicroscopyImages,10011009,Rnetworkflow,4895665785,89,28
32,MicroscopyImages,10011010,Rnetworkflow,2975148890,117,33
32,MicroscopyImages,10021004,Rnetworkflow,5615986990,169,51
32,MicroscopyImages,10031001,Rnetworkflow,9127985268,76,25
32,MicroscopyImages,10031002,Rnetworkflow,10368915611,106,30
32,MicroscopyImages,10031004,Rnetworkflow,1458056103,99,31
32,MicroscopyImages,10031005,Rnetworkflow,4076134672,101,29
32,MicroscopyImages,10031006,Rnetworkflow,2499003470,115,33
32,MicroscopyImages,10031007,Rnetworkflow,4912835614,87,28
32,MicroscopyImages,10031008,Rnetworkflow,4441900634,115,32
32,MicroscopyImages,10031009,Rnetworkflow,4820437077,86,28
32,MicroscopyImages,10031010,Rnetworkflow,5286615562,119,33
32,MicroscopyImages,10051002,Rnetworkflow,5055032825,139,34
32,MicroscopyImages,10051004,Rnetworkflow,3326211681,142,35
32,MicroscopyImages,10051007,Rnetworkflow,2956463676,121,32
32,MicroscopyImages,10051008,Rnetworkflow,2929547244,167,52
32,MicroscopyImages,10061001,Rnetworkflow,7407039052,119,33
32,MicroscopyImages,10061002,Rnetworkflow,6640787263,183,36
32,MicroscopyImages,10061004,Rnetworkflow,2486900891,221,55
32,MicroscopyImages,10061005,Rnetworkflow,465637718,160,51
32,MicroscopyImages,10061007,Rnetworkflow,3007911002,142,34
32,MicroscopyImages,10061008,Rnetworkflow,2863284268,201,38
32,MicroscopyImages,10061009,Rnetworkflow,2587922603,137,38
32,MicroscopyImages,10061010,Rnetworkflow,2708490782,209,40
32,MicroscopyImages,10071002,Rnetworkflow,5341166391,131,33
32,MicroscopyImages,10071004,Rnetworkflow,3067474949,128,33
32,MicroscopyImages,10071008,Rnetworkflow,337039790,122,35
32,MicroscopyImages,10081002,Rnetworkflow,5876045361,188,35
32,MicroscopyImages,10081004,Rnetworkflow,3049428353,190,37
32,MicroscopyImages,10091002,Rnetworkflow,3985490722,122,33
32,MicroscopyImages,10091004,Rnetworkflow,3530608744,121,33
32,MicroscopyImages,10091005,Rnetworkflow,2288966075,113,31
32,MicroscopyImages,10091007,Rnetworkflow,5735521479,112,30
32,MicroscopyImages,10091008,Rnetworkflow,5551601535,146,35
32,MicroscopyImages,10101002,Rnetworkflow,2151446473,180,36
32,MicroscopyImages,10101004,Rnetworkflow,2773701599,210,55
32,MicroscopyImages,10101005,Rnetworkflow,2198895408,178,51
32,MicroscopyImages,10101007,Rnetworkflow,4667825704,149,34
32,MicroscopyImages,10101008,Rnetworkflow,4745611100,205,40
32,MicroscopyImages,10101009,Rnetworkflow,869092881,128,36
32,Shapes,10011002,Rnetworkflow,2498560000,95,32
32,Shapes,10011004,Rnetworkflow,1380876504,132,37
32,Shapes,10011005,Rnetworkflow,974472630,111,37
32,Shapes,10011007,Rnetworkflow,2856691337,152,37
32,Shapes,10011008,Rnetworkflow,1677590960,82,32
32,Shapes,10011009,Rnetworkflow,778000000,102,25
32,Shapes,10011010,Rnetworkflow,341166340,110,35
32,Shapes,10021004,Rnetworkflow,352115986,59,23
32,Shapes,10031001,Rnetworkflow,136000000,159,24
32,Shapes,10031002,Rnetworkflow,2560096000,52,21
32,Shapes,10031004,Rnetworkflow,1453457196,72,26
32,Shapes,10031005,Rnetworkflow,1050860320,62,25
32,Shapes,10031006,Rnetworkflow,4951600000,57,13
32,Shapes,10031007,Rnetworkflow,2931901317,81,27
32,Shapes,10031008,Rnetworkflow,1735402504,49,21
32,Shapes,10031009,Rnetworkflow,834400000,50,13
32,Shapes,10031010,Rnetworkflow,432434912,64,25
32,Shapes,10051002,Rnetworkflow,3227151522,57,22
32,Shapes,10051004,Rnetworkflow,1851552136,73,26
32,Shapes,10051007,Rnetworkflow,3381665761,81,27
32,Shapes,10051008,Rnetworkflow,1545470204,51,21
32,Shapes,10061001,Rnetworkflow,4886800000,187,24
32,Shapes,10061002,Rnetworkflow,3891264000,59,21
32,Shapes,10061004,Rnetworkflow,3595726992,83,25
32,Shapes,10061005,Rnetworkflow,5472922118,70,24
32,Shapes,10061007,Rnetworkflow,10775897657,89,26
32,Shapes,10061008,Rnetworkflow,3906389576,55,21
32,Shapes,10061009,Rnetworkflow,5411200000,54,13
32,Shapes,10061010,Rnetworkflow,5777420840,73,24
32,Shapes,10071002,Rnetworkflow,2589584123,74,27
32,Shapes,10071004,Rnetworkflow,2040807815,90,28
32,Shapes,10071008,Rnetworkflow,2346634519,63,22
32,Shapes,10081002,Rnetworkflow,629300580,40,17
32,Shapes,10081004,Rnetworkflow,340140112,50,22
32,Shapes,10091002,Rnetworkflow,2960160000,56,21
32,Shapes,10091004,Rnetworkflow,1957490118,73,26
32,Shapes,10091005,Rnetworkflow,1745648268,63,24
32,Shapes,10091007,Rnetworkflow,3487215639,82,26
32,Shapes,10091008,Rnetworkflow,2278436924,51,20
32,Shapes,10101002,Rnetworkflow,3509690032,58,22
32,Shapes,10101004,Rnetworkflow,2250417600,73,26
32,Shapes,10101005,Rnetworkflow,1263731228,68,26
32,Shapes,10101007,Rnetworkflow,3639101183,83,27
32,Shapes,10101008,Rnetworkflow,2543288816,51,21
32,Shapes,10101009,Rnetworkflow,930355024,68,25
32,WhiteNoise,10011002,Rnetworkflow,72631474,245,42
32,WhiteNoise,10011004,Rnetworkflow,98469247,224,42
32,WhiteNoise,10011005,Rnetworkflow,80924888,241,42
32,WhiteNoise,10011007,Rnetworkflow,73705465,216,41
32,WhiteNoise,10011008,Rnetworkflow,71791015,230,41
32,WhiteNoise,10011009,Rnetworkflow,94176366,238,42
32,WhiteNoise,10011010,Rnetworkflow,78316204,234,42
32,WhiteNoise,10021004,Rnetworkflow,95227651,225,42
32,WhiteNoise,10031001,Rnetworkflow,77475839,220,43
32,WhiteNoise,10031002,Rnetworkflow,79716769,226,44
32,WhiteNoise,10031004,Rnetworkflow,99770800,243,44
32,WhiteNoise,10031005,Rnetworkflow,82048023,240,44
32,WhiteNoise,10031006,Rnetworkflow,66730834,224,44
32,WhiteNoise,10031007,Rnetworkflow,81831112,225,43
32,WhiteNoise,10031008,Rnetworkflow,86971808,226,43
32,WhiteNoise,10031009,Rnetworkflow,84280449,220,43
32,WhiteNoise,10031010,Rnetworkflow,70089433,229,43
32,WhiteNoise,10051002,Rnetworkflow,76939238,220,42
32,WhiteNoise,10051004,Rnetworkflow,77180629,215,42
32,WhiteNoise,10051007,Rnetworkflow,79855821,215,42
32,WhiteNoise,10051008,Rnetworkflow,83570883,237,42
32,WhiteNoise,10061001,Rnetworkflow,66044153,226,43
32,WhiteNoise,10061002,Rnetworkflow,76607451,219,42
32,WhiteNoise,10061004,Rnetworkflow,83850164,252,42
32,WhiteNoise,10061005,Rnetworkflow,73267053,224,43
32,WhiteNoise,10061007,Rnetworkflow,82416958,225,42
32,WhiteNoise,10061008,Rnetworkflow,74716462,228,43
32,WhiteNoise,10061009,Rnetworkflow,87470769,230,43
32,WhiteNoise,10061010,Rnetworkflow,71464641,232,42
32,WhiteNoise,10071002,Rnetworkflow,77529055,229,42
32,WhiteNoise,10071004,Rnetworkflow,124288292,237,42
32,WhiteNoise,10071008,Rnetworkflow,77792116,243,46
32,WhiteNoise,10081002,Rnetworkflow,68138269,219,43
32,WhiteNoise,10081004,Rnetworkflow,97534768,244,42
32,WhiteNoise,10091002,Rnetworkflow,79764058,261,42
32,WhiteNoise,10091004,Rnetworkflow,83115435,229,43
32,WhiteNoise,10091005,Rnetworkflow,76746646,242,42
32,WhiteNoise,10091007,Rnetworkflow,100452347,232,43
32,WhiteNoise,10091008,Rnetworkflow,91426453,246,42
32,WhiteNoise,10101002,Rnetworkflow,83020178,248,42
32,WhiteNoise,10101004,Rnetworkflow,119068103,242,42
32,WhiteNoise,10101005,Rnetworkflow,88253438,259,43
32,WhiteNoise,10101007,Rnetworkflow,81917349,230,42
32,WhiteNoise,10101008,Rnetworkflow,85910655,224,42
32,WhiteNoise,10101009,Rnetworkflow,95253472,265,42
64,CauchyDensity,10011002,Rnetworkflow,144304310665,6243,169
