Size,Instance type,Instance,Algorithm,ObjF Value,Total time [ms],ObjF time [ms]
32,CauchyDensity,10011002,Rnetworkflow,1792196707,283,40
32,CauchyDensity,10011004,Rnetworkflow,2397780369,254,39
32,CauchyDensity,10011005,Rnetworkflow,17909851849,254,40
32,CauchyDensity,10011007,Rnetworkflow,6243912576,307,41
32,CauchyDensity,10011008,Rnetworkflow,5688298977,306,40
32,CauchyDensity,10011009,Rnetworkflow,4097564224,249,40
32,CauchyDensity,10011010,Rnetworkflow,17220924118,310,41
32,CauchyDensity,10021004,Rnetworkflow,1358071384,231,40
32,CauchyDensity,10031001,Rnetworkflow,5121354077,216,40
32,CauchyDensity,10031002,Rnetworkflow,2252576302,223,41
32,CauchyDensity,10031004,Rnetworkflow,1340888028,222,39
32,CauchyDensity,10031005,Rnetworkflow,6852192960,238,41
32,CauchyDensity,10031006,Rnetworkflow,5282453447,263,41
32,CauchyDensity,10031007,Rnetworkflow,1621406347,231,40
32,CauchyDensity,10031008,Rnetworkflow,1286987748,235,40
32,CauchyDensity,10031009,Rnetworkflow,3964919205,252,40
32,CauchyDensity,10031010,Rnetworkflow,4552295541,280,40
32,CauchyDensity,10051002,Rnetworkflow,15509602618,244,39
32,CauchyDensity,10051004,Rnetworkflow,10991486054,237,40
32,CauchyDensity,10051007,Rnetworkflow,11658175111,299,40
32,CauchyDensity,10051008,Rnetworkflow,9303877284,253,40
32,CauchyDensity,10061001,Rnetworkflow,17730415512,275,40
32,CauchyDensity,10061002,Rnetworkflow,13310503857,261,40
32,CauchyDensity,10061004,Rnetworkflow,8522432379,234,40
32,CauchyDensity,10061005,Rnetworkflow,4281530985,236,39
32,CauchyDensity,10061007,Rnetworkflow,5714245194,242,40
32,CauchyDensity,10061008,Rnetworkflow,5520715675,243,40
32,CauchyDensity,10061009,Rnetworkflow,10977793522,254,40
32,CauchyDensity,10061010,Rnetworkflow,262412234,222,41
32,CauchyDensity,10071002,Rnetworkflow,3071265843,239,40
32,CauchyDensity,10071004,Rnetworkflow,1217239633,219,40
32,CauchyDensity,10071008,Rnetworkflow,524243513,234,39
32,CauchyDensity,10081002,Rnetworkflow,2838665716,278,41
32,CauchyDensity,10081004,Rnetworkflow,827596960,246,41
32,CauchyDensity,10091002,Rnetworkflow,3570958089,241,39
32,CauchyDensity,10091004,Rnetworkflow,1513708625,235,40
32,CauchyDensity,10091005,Rnetworkflow,11776812105,253,40
32,CauchyDensity,10091007,Rnetworkflow,3626689554,240,40
32,CauchyDensity,10091008,Rnetworkflow,1792520801,250,40
32,CauchyDensity,10101002,Rnetworkflow,12660462669,241,40
32,CauchyDensity,10101004,Rnetworkflow,8245624221,236,40
32,CauchyDensity,10101005,Rnetworkflow,3096475867,236,40
32,CauchyDensity,10101007,Rnetworkflow,5851790240,238,40
32,CauchyDensity,10101008,Rnetworkflow,5450830299,237,40
32,CauchyDensity,10101009,Rnetworkflow,10834612538,252,39
32,ClassicImages,10011002,Rnetworkflow,642064623,301,40
32,ClassicImages,10011004,Rnetworkflow,421791280,276,40
32,ClassicImages,10011005,Rnetworkflow,540989401,244,40
32,ClassicImages,10011007,Rnetworkflow,865212037,265,40
32,ClassicImages,10011008,Rnetworkflow,609060037,348,40
32,ClassicImages,10011009,Rnetworkflow,1697348934,267,40
32,ClassicImages,10011010,Rnetworkflow,1331537051,329,40
32,ClassicImages,10021004,Rnetworkflow,164211261,219,40
32,ClassicImages,10031001,Rnetworkflow,764360198,257,40
32,ClassicImages,10031002,Rnetworkflow,374909903,234,40
32,ClassicImages,10031004,Rnetworkflow,285454110,226,40
32,ClassicImages,10031005,Rnetworkflow,326952787,220,40
32,ClassicImages,10031006,Rnetworkflow,487928608,267,40
32,ClassicImages,10031007,Rnetworkflow,535268331,221,40
32,ClassicImages,10031008,Rnetworkflow,371014643,268,40
32,ClassicImages,10031009,Rnetworkflow,1258549336,249,40
32,ClassicImages,10031010,Rnetworkflow,843443801,250,40
32,ClassicImages,10051002,Rnetworkflow,155820730,250,40
32,ClassicImages,10051004,Rnetworkflow,208241169,237,40
32,ClassicImages,10051007,Rnetworkflow,186011698,232,40
32,ClassicImages,10051008,Rnetworkflow,318902136,255,40
32,ClassicImages,10061001,Rnetworkflow,1163234480,321,40
32,ClassicImages,10061002,Rnetworkflow,187296273,241,43
32,ClassicImages,10061004,Rnetworkflow,362148416,233,40
32,ClassicImages,10061005,Rnetworkflow,297953779,238,40
32,ClassicImages,10061007,Rnetworkflow,254800901,220,40
32,ClassicImages,10061008,Rnetworkflow,359332959,239,40
32,ClassicImages,10061009,Rnetworkflow,822271864,236,40
32,ClassicImages,10061010,Rnetworkflow,474006191,276,40
32,ClassicImages,10071002,Rnetworkflow,170977130,220,40
32,ClassicImages,10071004,Rnetworkflow,376860113,223,39
32,ClassicImages,10071008,Rnetworkflow,353883358,236,40
32,ClassicImages,10081002,Rnetworkflow,224243244,209,40
32,ClassicImages,10081004,Rnetworkflow,187999133,239,40
32,ClassicImages,10091002,Rnetworkflow,838588231,305,43
32,ClassicImages,10091004,Rnetworkflow,1133114680,249,40
32,ClassicImages,10091005,Rnetworkflow,723010961,275,40
32,ClassicImages,10091007,Rnetworkflow,689172553,271,40
32,ClassicImages,10091008,Rnetworkflow,1437741601,301,39
32,ClassicImages,10101002,Rnetworkflow,414270674,232,40
32,ClassicImages,10101004,Rnetworkflow,643276729,265,40
32,ClassicImages,10101005,Rnetworkflow,644833928,241,40
32,ClassicImages,10101007,Rnetworkflow,506634068,250,40
32,ClassicImages,10101008,Rnetworkflow,496835542,233,40
32,ClassicImages,10101009,Rnetworkflow,1740589599,244,40
32,GRFmoderate,10011002,Rnetworkflow,417043033,228,40
32,GRFmoderate,10011004,Rnetworkflow,2058476023,273,42
32,GRFmoderate,10011005,Rnetworkflow,622772266,227,40
32,GRFmoderate,10011007,Rnetworkflow,406183035,235,40
32,GRFmoderate,10011008,Rnetworkflow,1317918110,272,40
32,GRFmoderate,10011009,Rnetworkflow,288510370,217,39
32,GRFmoderate,10011010,Rnetworkflow,209422385,206,40
32,GRFmoderate,10021004,Rnetworkflow,1256712988,237,39
32,GRFmoderate,10031001,Rnetworkflow,908194803,277,41
32,GRFmoderate,10031002,Rnetworkflow,949126052,236,40
32,GRFmoderate,10031004,Rnetworkflow,1120855514,262,40
32,GRFmoderate,10031005,Rnetworkflow,632468053,234,41
32,GRFmoderate,10031006,Rnetworkflow,885827463,226,40
32,GRFmoderate,10031007,Rnetworkflow,805376224,219,41
32,GRFmoderate,10031008,Rnetworkflow,358653571,246,40
32,GRFmoderate,10031009,Rnetworkflow,632453437,240,40
32,GRFmoderate,10031010,Rnetworkflow,670620770,233,39
32,GRFmoderate,10051002,Rnetworkflow,364164385,240,40
32,GRFmoderate,10051004,Rnetworkflow,746068593,249,40
32,GRFmoderate,10051007,Rnetworkflow,299561843,235,40
32,GRFmoderate,10051008,Rnetworkflow,922413636,275,43
32,GRFmoderate,10061001,Rnetworkflow,1276934640,306,40
32,GRFmoderate,10061002,Rnetworkflow,893322779,293,40
32,GRFmoderate,10061004,Rnetworkflow,740953195,230,40
32,GRFmoderate,10061005,Rnetworkflow,379468874,255,39
32,GRFmoderate,10061007,Rnetworkflow,867378169,284,40
32,GRFmoderate,10061008,Rnetworkflow,1307654414,234,40
32,GRFmoderate,10061009,Rnetworkflow,876517322,273,40
32,GRFmoderate,10061010,Rnetworkflow,996419923,289,39
32,GRFmoderate,10071002,Rnetworkflow,407470852,207,40
32,GRFmoderate,10071004,Rnetworkflow,1517326078,261,42
32,GRFmoderate,10071008,Rnetworkflow,954142553,237,40
32,GRFmoderate,10081002,Rnetworkflow,1362745945,270,39
32,GRFmoderate,10081004,Rnetworkflow,1467827953,225,40
32,GRFmoderate,10091002,Rnetworkflow,349434325,227,41
32,GRFmoderate,10091004,Rnetworkflow,1436318905,278,40
32,GRFmoderate,10091005,Rnetworkflow,339332532,215,40
32,GRFmoderate,10091007,Rnetworkflow,159044387,215,40
32,GRFmoderate,10091008,Rnetworkflow,759504426,227,40
32,GRFmoderate,10101002,Rnetworkflow,450423650,233,39
32,GRFmoderate,10101004,Rnetworkflow,1767724806,270,40
32,GRFmoderate,10101005,Rnetworkflow,415758811,234,39
32,GRFmoderate,10101007,Rnetworkflow,234106414,234,40
32,GRFmoderate,10101008,Rnetworkflow,1074961309,258,40
32,GRFmoderate,10101009,Rnetworkflow,242499731,213,41
32,GRFrough,10011002,Rnetworkflow,151156309,215,40
32,GRFrough,10011004,Rnetworkflow,170020029,234,40
32,GRFrough,10011005,Rnetworkflow,96074176,208,40
32,GRFrough,10011007,Rnetworkflow,84752158,225,43
32,GRFrough,10011008,Rnetworkflow,94084457,221,39
32,GRFrough,10011009,Rnetworkflow,75566352,222,40
32,GRFrough,10011010,Rnetworkflow,101264476,207,40
32,GRFrough,10021004,Rnetworkflow,177882234,218,40
32,GRFrough,10031001,Rnetworkflow,105799763,230,40
32,GRFrough,10031002,Rnetworkflow,183408184,221,40
32,GRFrough,10031004,Rnetworkflow,153466728,225,40
32,GRFrough,10031005,Rnetworkflow,149549061,219,40
32,GRFrough,10031006,Rnetworkflow,98235286,225,40
32,GRFrough,10031007,Rnetworkflow,95364267,233,40
32,GRFrough,10031008,Rnetworkflow,121005994,216,40
32,GRFrough,10031009,Rnetworkflow,133254415,222,40
32,GRFrough,10031010,Rnetworkflow,122400625,240,44
32,GRFrough,10051002,Rnetworkflow,80379813,215,39
32,GRFrough,10051004,Rnetworkflow,209710895,248,40
32,GRFrough,10051007,Rnetworkflow,122695058,233,44
32,GRFrough,10051008,Rnetworkflow,87788389,223,40
32,GRFrough,10061001,Rnetworkflow,130973107,215,40
32,GRFrough,10061002,Rnetworkflow,187739330,226,43
32,GRFrough,10061004,Rnetworkflow,138220966,239,40
32,GRFrough,10061005,Rnetworkflow,162308605,231,45
32,GRFrough,10061007,Rnetworkflow,158446987,216,40
32,GRFrough,10061008,Rnetworkflow,185928034,237,40
32,GRFrough,10061009,Rnetworkflow,150840939,226,40
32,GRFrough,10061010,Rnetworkflow,117139219,233,42
32,GRFrough,10071002,Rnetworkflow,167036651,218,40
32,GRFrough,10071004,Rnetworkflow,190470457,210,40
32,GRFrough,10071008,Rnetworkflow,76879099,202,40
32,GRFrough,10081002,Rnetworkflow,130160550,235,40
32,GRFrough,10081004,Rnetworkflow,205655006,212,40
32,GRFrough,10091002,Rnetworkflow,100041181,212,40
32,GRFrough,10091004,Rnetworkflow,194897565,232,40
32,GRFrough,10091005,Rnetworkflow,69804222,211,40
32,GRFrough,10091007,Rnetworkflow,89287872,210,40
32,GRFrough,10091008,Rnetworkflow,85992103,209,40
32,GRFrough,10101002,Rnetworkflow,96820985,223,40
32,GRFrough,10101004,Rnetworkflow,183862247,229,40
32,GRFrough,10101005,Rnetworkflow,68134702,209,43
32,GRFrough,10101007,Rnetworkflow,136614510,229,40
32,GRFrough,10101008,Rnetworkflow,122263939,224,40
32,GRFrough,10101009,Rnetworkflow,88268958,216,40
32,GRFsmooth,10011002,Rnetworkflow,2192628583,251,41
32,GRFsmooth,10011004,Rnetworkflow,1935825471,262,41
32,GRFsmooth,10011005,Rnetworkflow,1278120742,261,39
32,GRFsmooth,10011007,Rnetworkflow,370907675,317,40
32,GRFsmooth,10011008,Rnetworkflow,1919398687,225,41
32,GRFsmooth,10011009,Rnetworkflow,1352756959,221,40
32,GRFsmooth,10011010,Rnetworkflow,2398552683,238,40
32,GRFsmooth,10021004,Rnetworkflow,6078514050,243,39
32,GRFsmooth,10031001,Rnetworkflow,5859784556,274,40
32,GRFsmooth,10031002,Rnetworkflow,4072302973,250,40
32,GRFsmooth,10031004,Rnetworkflow,8720841903,268,40
32,GRFsmooth,10031005,Rnetworkflow,6930003006,263,40
32,GRFsmooth,10031006,Rnetworkflow,3809446997,309,41
32,GRFsmooth,10031007,Rnetworkflow,6102346267,274,39
32,GRFsmooth,10031008,Rnetworkflow,2090817265,246,40
32,GRFsmooth,10031009,Rnetworkflow,3169266845,231,40
32,GRFsmooth,10031010,Rnetworkflow,2550004137,253,40
32,GRFsmooth,10051002,Rnetworkflow,3489604383,298,40
32,GRFsmooth,10051004,Rnetworkflow,929198859,245,39
32,GRFsmooth,10051007,Rnetworkflow,1267127657,312,39
32,GRFsmooth,10051008,Rnetworkflow,2641344483,256,39
32,GRFsmooth,10061001,Rnetworkflow,998903875,279,41
32,GRFsmooth,10061002,Rnetworkflow,1093335490,273,39
32,GRFsmooth,10061004,Rnetworkflow,3032271612,255,39
32,GRFsmooth,10061005,Rnetworkflow,1356711709,314,40
32,GRFsmooth,10061007,Rnetworkflow,767096158,259,40
32,GRFsmooth,10061008,Rnetworkflow,750194750,232,40
32,GRFsmooth,10061009,Rnetworkflow,1340901494,222,40
32,GRFsmooth,10061010,Rnetworkflow,1367176930,288,40
32,GRFsmooth,10071002,Rnetworkflow,1691797832,246,40
32,GRFsmooth,10071004,Rnetworkflow,2163936616,245,39
32,GRFsmooth,10071008,Rnetworkflow,1639328430,248,39
32,GRFsmooth,10081002,Rnetworkflow,735397096,245,39
32,GRFsmooth,10081004,Rnetworkflow,4633448114,239,40
32,GRFsmooth,10091002,Rnetworkflow,2483493688,249,39
32,GRFsmooth,10091004,Rnetworkflow,2005629276,282,39
32,GRFsmooth,10091005,Rnetworkflow,1610084355,234,40
32,GRFsmooth,10091007,Rnetworkflow,1432067894,267,40
32,GRFsmooth,10091008,Rnetworkflow,1100107608,238,41
